3,2819620864,60663508524
4,2819620864,40553597466
5,2819620864,59840815480
6,2819620864,35794827319
7,2819620864,58927139027
8,2819620864,36107100312
9,2819620864,58025550684
0,2886729728,60522724908
1,2886729728,36529181841
2,2886729728,60953860744
3,2886729728,37229604171
4,2886729728,64820177593
5,2886729728,38073396092
6,2886729728,60339760501
7,2886729728,38682395702
8,2886729728,63368953760
9,2886729728,41433996016
0,2953838592,44730007615
1,2953838592,56285560744
2,2953838592,44741287147
3,2953838592,56088067763
4,2953838592,44326043070
5,2953838592,57940848328
6,2953838592,44466431500
7,2953838592,55971247041
8,2953838592,45528370238
9,2953838592,55618614596
0,3020947456,56935181581
1,3020947456,46110952478
2,3020947456,57039622351
3,3020947456,47150321083
4,3020947456,55453345993
5,3020947456,48021684121
6,3020947456,54037180714
7,3020947456,48491511778
8,3020947456,53236367352
9,3020947456,48343401216
0,3088056320,50967565963
1,3088056320,53152978624
2,3088056320,50498808720
3,3088056320,53373066933
4,3088056320,51328550928
5,3088056320,54173225277
6,3088056320,49411526476
7,3088056320,54481757779
8,3088056320,51145052183
9,3088056320,54664846898
0,3155165184,56647613967
1,3155165184,50100113359
2,3155165184,56013216386
3,3155165184,55538942567
4,3155165184,55471697695
5,3155165184,49929097942
6,3155165184,59105954461
7,3155165184,50334465156
8,3155165184,55653606556
9,3155165184,50392530284
0,3222274048,51987644484
1,3222274048,56591279053
2,3222274048,53230945584
3,3222274048,60956383647
4,3222274048,52856787984
5,3222274048,55986791275
6,3222274048,51797693751
7,3222274048,57097600995
8,3222274048,52505561081
9,3222274048,55116480889
0,3289382912,57704656209
1,3289382912,52002593569
2,3289382912,58122551642
3,3289382912,53578297231
4,3289382912,58986785499
5,3289382912,53135896218
6,3289382912,58790061040
7,3289382912,53330720672
8,3289382912,62785970570
9,3289382912,52319053531
0,3356491776,54374337676
1,3356491776,58761491960
2,3356491776,54348919008
3,3356491776,58230796268
4,3356491776,55535737516
5,3356491776,57801627590
6,3356491776,55298781503
7,3356491776,58836108486
8,3356491776,55513192989
9,3356491776,59096328255
0,3423600640,61876411731
1,3423600640,56747433230
2,3423600640,65299855442
3,3423600640,56522255250
4,3423600640,59506138590
5,3423600640,56131526860
6,3423600640,59387466035
7,3423600640,56962389256
8,3423600640,59395318940
9,3423600640,56866695334
0,3490709504,57351470181
1,3490709504,60722162084
2,3490709504,58142956550
3,3490709504,60799926540
4,3490709504,61855071642
5,3490709504,65023670212
6,3490709504,58099333814
7,3490709504,60798407035
8,3490709504,57996714354
9,3490709504,61267359151
0,3557818368,62945984264
1,3557818368,57260716512
2,3557818368,66101645821
3,3557818368,61780337495
4,3557818368,63838881083
5,3557818368,59126266611
6,3557818368,63445670307
7,3557818368,58041649874
8,3557818368,67525083844
9,3557818368,57816704624
0,3624927232,59514141987
1,3624927232,63112185741
2,3624927232,61109441398
3,3624927232,70121373318
4,3624927232,60138261661
5,3624927232,63226573686
6,3624927232,60258117100
7,3624927232,63885310183
8,3624927232,59991553766
9,3624927232,75294939265
0,3692036096,64550699527
1,3692036096,59484188327
